TrialNumber,Average gross pay,HC bearing gross rock volume,HC pore volume,HC water contact - result,Productive area,Recoverable.Accumulation size Total Resources
9836,41.3737,140.78,12.5653,3524.14,3.40265,14.5576
2620,39.718,104.557,11.564,3496.23,2.63248,12.7297
402,40.7137,118.866,12.8498,3506.85,2.91955,14.7778
7862,39.396,116.73,12.5857,3508.45,2.96299,14.8378
9665,37.4093,165.403,14.2911,3552.52,4.42143,15.614
8380,35.0267,131.738,12.4409,3534.93,3.76107,15.1341
5112,34.0824,104.365,11.0088,3512.12,3.06212,13.1214
102,37.8329,105.185,9.69194,3501.69,2.78025,11.8912
1270,35.3972,96.2761,11.3019,3499.46,2.71988,12.8923
7429,36.7286,157.402,15.9468,3548.91,4.28555,17.8118
2229,34.3612,139.168,11.6153,3542.77,4.05017,15.0112
8124,30.8745,170.075,16.8805,3585.38,5.50859,17.4544
6860,38.9408,164.47,14.4856,3547.3,4.22358,14.759
2258,41.4255,135.157,12.2569,3519.56,3.26265,15.1587
1445,40.711,90.7105,12.5035,3479.31,2.22815,14.2744
4485,38.1116,82.2252,9.5526,3476.66,2.15749,10.7974
59,33.626,141.959,13.3542,3547.25,4.22169,15.7427
4244,0,0,0,3166.59,0,0
8820,35.4216,119.6,12.7491,3523.3,3.37649,15.3326
126,40.0993,127.363,13.1991,3516.35,3.17619,14.3774
9157,34.2229,138.933,13.687,3543.02,4.05964,16.0123
8603,33.2332,141.155,13.0383,3547.92,4.24741,15.9424
8401,45.2564,74.5393,8.14825,3444.01,1.64705,9.154
6452,44.8511,112.013,12.01,3491.25,2.49744,12.966
3959,44.4369,81.6742,8.11084,3460.9,1.83798,10.1153
497,38.711,117.005,10.8891,3510.66,3.02253,12.7416
7487,39.5866,121.047,13.9421,3511.96,3.05777,15.3058
7340,38.8883,123.257,13.6637,3516.1,3.16951,15.1637
7701,41.0883,147.375,11.8955,3530.09,3.5868,14.7037
7027,38.717,109.359,14.191,3503.33,2.82457,15.2633
8341,42.2407,102.497,11.7944,3488.29,2.4265,14.5758
9074,41.6574,82.9446,10.9251,3470.42,1.99111,12.5875
960,36.963,188.323,17.2307,3570.96,5.0949,19.4277
7570,40.1213,126.404,11.2086,3515.4,3.15054,13.17
2400,39.3898,95.7526,12.2202,3488.49,2.4309,14.0181
6431,32.0924,139.665,14.1522,3550.66,4.35195,15.9889
9098,35.8597,127.507,13.7981,3529.09,3.55572,15.0793
9276,36.7537,124.46,11.4252,3523.61,3.38633,14.2469
8050,35.6465,119.143,13.5949,3522.19,3.34235,15.2698
2508,39.2895,102.896,11.1582,3495.73,2.61891,12.7065
5333,33.2159,136.538,13.7349,3544.35,4.11063,16.3656
8407,37.379,132.768,12.6074,3528.97,3.55194,14.8166
4475,35.9787,125.314,14.7131,3526.74,3.48302,16.3387
2886,36.0871,119.87,13.1074,3521.52,3.32169,15.082
3378,46.2511,141.017,13.336,3511.64,3.04895,14.8652
7823,38.437,82.2771,10.2482,3476.03,2.14057,11.6043
9553,31.8534,112.833,13.2911,3528.66,3.54225,15.7805
3019,35.2598,95.6032,11.727,3499.15,2.7114,13.1824
2793,39.8134,94.7931,10.4916,3486.19,2.38094,11.6732
7058,34.3164,109.288,12.6694,3516.67,3.18471,14.7605
855,44.2898,137.039,12.6074,3513.31,3.09415,14.3305
7519,48.4289,76.6038,7.43867,3436.26,1.58178,9.29061
3828,45.925,93.9317,9.00907,3472.46,2.04533,9.64062
8677,37.1369,137.489,13.7005,3533.29,3.70223,15.2232
7877,37.1017,127.206,12.7081,3524.98,3.42856,14.1439
7807,32.59,117.448,13.2378,3530.56,3.60381,15.8695
6989,37.4497,154.317,13.9056,3544.61,4.12065,15.8613
919,38.6286,161.533,14.9695,3546.2,4.18169,17.9205
7781,37.0938,112.464,12.7063,3511,3.03188,14.7028
2488,38.3394,131.45,13.3036,3524.98,3.4286,15.0586
8924,39.9096,129.686,12.202,3519.07,3.24948,15.2011
3854,38.9962,84.2991,10.2567,3476.82,2.16172,12.3868
6776,39.5646,116.585,10.9007,3507.85,2.94671,12.9423
8246,35.5067,128.166,12.059,3530.72,3.60964,14.1337
2273,35.1464,119.185,12.642,3523.77,3.3911,14.5156
6156,45.4411,154.726,14.4607,3524.22,3.40497,15.6849
2491,41.2134,95.8739,9.96827,3483.67,2.32628,11.5837
7872,42.9023,120.554,14.0539,3502.79,2.80997,15.6492
1013,33.5806,109.512,10.8459,3519.5,3.26115,12.5466
9095,37.6562,128.087,12.4761,3524.1,3.4015,15.015
3869,39.1332,116.409,14.8564,3508.89,2.9747,15.6631
7992,36.9194,118.61,13.3682,3517.7,3.21269,15.6591
4039,32.4083,107.246,10.7341,3521.12,3.30921,12.9699
1581,37.3434,96.1822,10.6496,3494.13,2.57562,12.8201
9781,41.9748,161.297,13.0063,3537.19,3.84272,14.5405
9124,34.7795,128.651,13.2398,3533.2,3.69905,15.9663
6225,38.7324,112.968,11.4394,3506.74,2.91662,14.2839
6149,42.4806,71.6024,8.91919,3448.23,1.68553,9.89349
2027,39.2616,119.77,10.0904,3511.7,3.05057,11.8785
9839,43.1767,124.016,13.1206,3505.1,2.87229,15.1485
3605,40.8206,123.965,11.58,3511.19,3.03683,13.8998
4113,38.3829,106.728,10.2829,3501.71,2.78061,11.5291
9097,35.8749,122.622,13.8687,3524.64,3.41806,15.6487
7407,36.2083,146.058,14.0709,3542.35,4.03382,15.9398
827,48.9022,74.9035,8.21143,3429.72,1.5317,9.75981
3031,36.9765,106.142,11.707,3505.03,2.87051,14.853
77,42.8003,99.5749,10.2239,3483.68,2.3265,11.8736
8946,34.1723,130.593,12.6371,3536.61,3.82159,15.1557
3534,33.1038,147.687,13.4815,3553.58,4.46135,15.7542
8645,42.5959,148.351,14.4482,3526.73,3.48276,15.4889
8117,39.8432,150.199,12.733,3535.17,3.76975,14.9948
715,45.9809,124.052,12.4083,3498.65,2.6979,14.4689
6644,38.5973,124.787,10.8594,3518.46,3.23305,12.6303
2629,37.1689,106.325,11.9943,3504.66,2.86059,15.408
5794,42.7252,159.13,11.8472,3533.91,3.72451,13.8566
6205,34.3385,107.248,13.6426,3514.39,3.12327,16.3656
745,36.9857,72.0159,8.75109,3467.9,1.94713,10.3347
2658,30.7694,142.44,15.1394,3558.07,4.62926,16.3335
5354,38.3427,116.168,12.0749,3510.92,3.02973,14.6133
8599,40.4386,141.505,14.203,3527.27,3.49926,15.5937
8933,38.2793,124.116,12.8232,3518.8,3.24239,16.0601
